"","Player_Season","Player","Season","Team","Pts","Num_Games"
"1","Joe Malone 1917-1918","Joe Malone","1917-1918","Montréal Canadiens",41,16
"2","Cy Denneny 1917-1918","Cy Denneny","1917-1918","Ottawa Senators (1917)",41,19
"3","Joe Malone 1919-1920","Joe Malone","1919-1920","Quebec Bulldogs",40,20
"4","Newsy Lalonde 1919-1920","Newsy Lalonde","1919-1920","Montréal Canadiens",40,20
"5","Frank Nighbor 1919-1920","Frank Nighbor","1919-1920","Ottawa Senators (1917)",42,23
"6","Newsy Lalonde 1920-1921","Newsy Lalonde","1920-1921","Montréal Canadiens",43,22
"7","Babe Dye 1920-1921","Babe Dye","1920-1921","Toronto St. Patricks",40,23
"8","Cy Denneny 1920-1921","Cy Denneny","1920-1921","Ottawa Senators (1917)",41,24
"9","Punch Broadbent 1921-1922","Punch Broadbent","1921-1922","Ottawa Senators (1917)",42,20
"10","Cy Denneny 1921-1922","Cy Denneny","1921-1922","Ottawa Senators (1917)",40,22
"11","Aurel Joliat 1924-1925","Aurel Joliat","1924-1925","Montréal Canadiens",40,23
"12","Babe Dye 1924-1925","Babe Dye","1924-1925","Toronto St. Patricks",41,26
"13","Cy Denneny 1924-1925","Cy Denneny","1924-1925","Ottawa Senators (1917)",41,29
"14","Nels Stewart 1925-1926","Nels Stewart","1925-1926","Montreal Maroons",40,31
"15","Howie Morenz 1927-1928","Howie Morenz","1927-1928","Montréal Canadiens",40,37
"16","Frank Boucher 1929-1930","Frank Boucher","1929-1930","New York Rangers",41,25
"17","Bill Cook 1929-1930","Bill Cook","1929-1930","New York Rangers",42,26
"18","Cooney Weiland 1929-1930","Cooney Weiland","1929-1930","Boston Bruins",40,27
"19","Dit Clapper 1929-1930","Dit Clapper","1929-1930","Boston Bruins",41,32
"20","Nels Stewart 1929-1930","Nels Stewart","1929-1930","Montreal Maroons",40,32
"21","Dutch Gainor 1929-1930","Dutch Gainor","1929-1930","Boston Bruins",41,34
"22","Hec Kilrea 1929-1930","Hec Kilrea","1929-1930","Ottawa Senators (1917)",40,34
"23","Fred Cook 1929-1930","Fred Cook","1929-1930","New York Rangers",40,35
"24","Normie Himes 1929-1930","Normie Himes","1929-1930","New York Americans",41,37
"25","Howie Morenz 1929-1930","Howie Morenz","1929-1930","Montréal Canadiens",41,37
"26","Joe Lamb 1929-1930","Joe Lamb","1929-1930","Ottawa Senators (1917)",42,38
"27","Ace Bailey 1929-1930","Ace Bailey","1929-1930","Toronto Maple Leafs",40,41
"28","King Clancy 1929-1930","King Clancy","1929-1930","Ottawa Senators (1917)",40,44
"29","Ebbie Goodfellow 1930-1931","Ebbie Goodfellow","1930-1931","Detroit Falcons",40,35
"30","Howie Morenz 1930-1931","Howie Morenz","1930-1931","Montréal Canadiens",43,33
"31","Bill Cook 1930-1931","Bill Cook","1930-1931","New York Rangers",40,40
"32","Ace Bailey 1930-1931","Ace Bailey","1930-1931","Toronto Maple Leafs",42,40
"33","Joe Primeau 1930-1931","Joe Primeau","1930-1931","Toronto Maple Leafs",41,38
"34","Charlie Conacher 1930-1931","Charlie Conacher","1930-1931","Toronto Maple Leafs",43,38
"35","Busher Jackson 1931-1932","Busher Jackson","1931-1932","Toronto Maple Leafs",42,39
"36","Joe Primeau 1931-1932","Joe Primeau","1931-1932","Toronto Maple Leafs",40,40
"37","Dave Trottier 1931-1932","Dave Trottier","1931-1932","Montreal Maroons",40,46
"38","Hooley Smith 1931-1932","Hooley Smith","1931-1932","Montreal Maroons",43,42
"39","Charlie Conacher 1931-1932","Charlie Conacher","1931-1932","Toronto Maple Leafs",40,40
"40","Bill Cook 1931-1932","Bill Cook","1931-1932","New York Rangers",42,46
"41","Howie Morenz 1931-1932","Howie Morenz","1931-1932","Montréal Canadiens",41,46
"42","Bill Cook 1932-1933","Bill Cook","1932-1933","New York Rangers",40,41
"43","Baldy Northcott 1932-1933","Baldy Northcott","1932-1933","Montreal Maroons",40,45
"44","Busher Jackson 1932-1933","Busher Jackson","1932-1933","Toronto Maple Leafs",41,46
"45","Paul Haynes 1932-1933","Paul Haynes","1932-1933","Montreal Maroons",40,46
"46","Hooley Smith 1932-1933","Hooley Smith","1932-1933","Montreal Maroons",41,48
"47","Charlie Conacher 1933-1934","Charlie Conacher","1933-1934","Toronto Maple Leafs",40,30
"48","Frank Boucher 1933-1934","Frank Boucher","1933-1934","New York Rangers",40,40
"49","Joe Primeau 1933-1934","Joe Primeau","1933-1934","Toronto Maple Leafs",42,39
"50","Charlie Conacher 1934-1935","Charlie Conacher","1934-1935","Toronto Maple Leafs",42,39
"51","Busher Jackson 1934-1935","Busher Jackson","1934-1935","Toronto Maple Leafs",41,38
"52","Syd Howe 1934-1935","Syd Howe","1934-1935","Detroit Red Wings",40,45
"53","Larry Aurie 1934-1935","Larry Aurie","1934-1935","Detroit Red Wings",40,43
"54","Frank Boucher 1934-1935","Frank Boucher","1934-1935","New York Rangers",42,44
"55","Art Chapman 1934-1935","Art Chapman","1934-1935","New York Americans",40,44
"56","Herbie Lewis 1934-1935","Herbie Lewis","1934-1935","Detroit Red Wings",40,45
"57","Sweeney Schriner 1934-1935","Sweeney Schriner","1934-1935","New York Americans",40,47
"58","Marty Barry 1934-1935","Marty Barry","1934-1935","Boston Bruins",40,48
"59","Sweeney Schriner 1935-1936","Sweeney Schriner","1935-1936","New York Americans",41,40
"60","Paul Thompson 1935-1936","Paul Thompson","1935-1936","Chicago Blackhawks",40,43
"61","Marty Barry 1935-1936","Marty Barry","1935-1936","Detroit Red Wings",40,48
"62","Marty Barry 1936-1937","Marty Barry","1936-1937","Detroit Red Wings",40,41
"63","Larry Aurie 1936-1937","Larry Aurie","1936-1937","Detroit Red Wings",41,41
"64","Syl Apps 1936-1937","Syl Apps","1936-1937","Toronto Maple Leafs",40,42
"65","Sweeney Schriner 1936-1937","Sweeney Schriner","1936-1937","New York Americans",40,46
"66","Busher Jackson 1936-1937","Busher Jackson","1936-1937","Toronto Maple Leafs",40,46
"67","Gordie Drillon 1937-1938","Gordie Drillon","1937-1938","Toronto Maple Leafs",40,35
"68","Syl Apps 1937-1938","Syl Apps","1937-1938","Toronto Maple Leafs",40,41
"69","Paul Thompson 1937-1938","Paul Thompson","1937-1938","Chicago Blackhawks",40,44
"70","Georges Mantha 1937-1938","Georges Mantha","1937-1938","Montréal Canadiens",40,44
"71","Toe Blake 1938-1939","Toe Blake","1938-1939","Montréal Canadiens",40,42
"72","Sweeney Schriner 1938-1939","Sweeney Schriner","1938-1939","New York Americans",41,45
"73","Bill Cowley 1938-1939","Bill Cowley","1938-1939","Boston Bruins",40,33
"74","Tom Anderson 1938-1939","Tom Anderson","1938-1939","New York Americans",40,48
"75","Clint Smith 1938-1939","Clint Smith","1938-1939","New York Rangers",41,48
"76","Marty Barry 1938-1939","Marty Barry","1938-1939","Detroit Red Wings",41,48
"77","Syl Apps 1938-1939","Syl Apps","1938-1939","Toronto Maple Leafs",40,44
"78","Milt Schmidt 1939-1940","Milt Schmidt","1939-1940","Boston Bruins",41,37
"79","Bryan Hextall Sr. 1939-1940","Bryan Hextall Sr.","1939-1940","New York Rangers",40,44
"80","Woody Dumart 1939-1940","Woody Dumart","1939-1940","Boston Bruins",40,44
"81","Bobby Bauer 1939-1940","Bobby Bauer","1939-1940","Boston Bruins",40,44
"82","Bill Cowley 1939-1940","Bill Cowley","1939-1940","Boston Bruins",40,48
"83","Gordie Drillon 1939-1940","Gordie Drillon","1939-1940","Toronto Maple Leafs",41,44
"84","Bill Cowley 1940-1941","Bill Cowley","1940-1941","Boston Bruins",41,30
"85","Syl Apps 1940-1941","Syl Apps","1940-1941","Toronto Maple Leafs",41,37
"86","Bryan Hextall Sr. 1940-1941","Bryan Hextall Sr.","1940-1941","New York Rangers",40,43
"87","Syd Howe 1940-1941","Syd Howe","1940-1941","Detroit Red Wings",40,44
"88","Lynn Patrick 1940-1941","Lynn Patrick","1940-1941","New York Rangers",41,47
"89","Neil Colville 1940-1941","Neil Colville","1940-1941","New York Rangers",40,47
"90","Gordie Drillon 1940-1941","Gordie Drillon","1940-1941","Toronto Maple Leafs",44,42
"91","Eddie Wiseman 1940-1941","Eddie Wiseman","1940-1941","Boston Bruins",40,48
"92","Bryan Hextall Sr. 1941-1942","Bryan Hextall Sr.","1941-1942","New York Rangers",40,33
"93","Lynn Patrick 1941-1942","Lynn Patrick","1941-1942","New York Rangers",41,33
"94","Phil Watson 1941-1942","Phil Watson","1941-1942","New York Rangers",40,36
"95","Don Grosso 1941-1942","Don Grosso","1941-1942","Detroit Red Wings",40,41
"96","Sid Abel 1941-1942","Sid Abel","1941-1942","Detroit Red Wings",41,42
"97","Bill Thoms 1941-1942","Bill Thoms","1941-1942","Chicago Blackhawks",40,42
"98","Gordie Drillon 1941-1942","Gordie Drillon","1941-1942","Toronto Maple Leafs",40,43
"99","Syl Apps 1941-1942","Syl Apps","1941-1942","Toronto Maple Leafs",40,35
"100","Toe Blake 1941-1942","Toe Blake","1941-1942","Montréal Canadiens",42,45
"101","Tom Anderson 1941-1942","Tom Anderson","1941-1942","Brooklyn Americans",41,48
"102","Lorne Carr 1942-1943","Lorne Carr","1942-1943","Toronto Maple Leafs",41,28
"103","Bill Cowley 1942-1943","Bill Cowley","1942-1943","Boston Bruins",42,28
"104","Lynn Patrick 1942-1943","Lynn Patrick","1942-1943","New York Rangers",41,30
"105","Billy Taylor Sr. 1942-1943","Billy Taylor Sr.","1942-1943","Toronto Maple Leafs",40,30
"106","Syl Apps 1942-1943","Syl Apps","1942-1943","Toronto Maple Leafs",40,28
"107","Doug Bentley 1942-1943","Doug Bentley","1942-1943","Chicago Blackhawks",42,31
"108","Max Bentley 1942-1943","Max Bentley","1942-1943","Chicago Blackhawks",44,28
"109","Buzz Boll 1942-1943","Buzz Boll","1942-1943","Boston Bruins",41,36
"110","Art Jackson 1942-1943","Art Jackson","1942-1943","Boston Bruins",42,38
"111","Joe Benoit 1942-1943","Joe Benoit","1942-1943","Montréal Canadiens",40,35
"112","Syd Howe 1942-1943","Syd Howe","1942-1943","Detroit Red Wings",42,36
"113","Toe Blake 1942-1943","Toe Blake","1942-1943","Montréal Canadiens",40,35
"114","Buddy O'Connor 1942-1943","Buddy O'Connor","1942-1943","Montréal Canadiens",41,38
"115","Gaye Stewart 1942-1943","Gaye Stewart","1942-1943","Toronto Maple Leafs",40,37
"116","Bryan Hextall Sr. 1942-1943","Bryan Hextall Sr.","1942-1943","New York Rangers",40,39
"117","Elmer Lach 1942-1943","Elmer Lach","1942-1943","Montréal Canadiens",41,35
"118","Flash Hollett 1942-1943","Flash Hollett","1942-1943","Boston Bruins",40,43
"119","Gordie Drillon 1942-1943","Gordie Drillon","1942-1943","Montréal Canadiens",41,41
"120","Mel Hill 1942-1943","Mel Hill","1942-1943","Toronto Maple Leafs",40,43
"121","Bill Thoms 1942-1943","Bill Thoms","1942-1943","Chicago Blackhawks",41,40
"122","Mud Bruneteau 1942-1943","Mud Bruneteau","1942-1943","Detroit Red Wings",40,43
"123","Carl Liscombe 1942-1943","Carl Liscombe","1942-1943","Detroit Red Wings",41,46
"124","Ray Getliffe 1942-1943","Ray Getliffe","1942-1943","Montréal Canadiens",40,47
"125","Sid Abel 1942-1943","Sid Abel","1942-1943","Detroit Red Wings",40,47
"126","Red Hamill 1942-1943","Red Hamill","1942-1943","Chicago Blackhawks",41,48
"127","Phil Watson 1942-1943","Phil Watson","1942-1943","New York Rangers",42,45
"128","Bill Cowley 1943-1944","Bill Cowley","1943-1944","Boston Bruins",40,20
"129","Herb Cain 1943-1944","Herb Cain","1943-1944","Boston Bruins",42,23
"130","Lorne Carr 1943-1944","Lorne Carr","1943-1944","Toronto Maple Leafs",41,26
"131","Elmer Lach 1943-1944","Elmer Lach","1943-1944","Montréal Canadiens",40,22
"132","Doug Bentley 1943-1944","Doug Bentley","1943-1944","Chicago Blackhawks",40,26
"133","Bill Mosienko 1943-1944","Bill Mosienko","1943-1944","Chicago Blackhawks",42,26
"134","Gus Bodnar 1943-1944","Gus Bodnar","1943-1944","Toronto Maple Leafs",40,29
"135","Art Jackson 1943-1944","Art Jackson","1943-1944","Boston Bruins",40,29
"136","Clint Smith 1943-1944","Clint Smith","1943-1944","Chicago Blackhawks",41,29
"137","Joe Carveth 1943-1944","Joe Carveth","1943-1944","Detroit Red Wings",40,29
"138","Buddy O'Connor 1943-1944","Buddy O'Connor","1943-1944","Montréal Canadiens",41,29
"139","Babe Pratt 1943-1944","Babe Pratt","1943-1944","Toronto Maple Leafs",40,35
"140","Carl Liscombe 1943-1944","Carl Liscombe","1943-1944","Detroit Red Wings",40,31
"141","Syd Howe 1943-1944","Syd Howe","1943-1944","Detroit Red Wings",40,33
"142","Mud Bruneteau 1943-1944","Mud Bruneteau","1943-1944","Detroit Red Wings",40,32
"143","Bob Davidson 1943-1944","Bob Davidson","1943-1944","Toronto Maple Leafs",40,37
"144","Ted Kennedy 1943-1944","Ted Kennedy","1943-1944","Toronto Maple Leafs",40,39
"145","Bryan Hextall Sr. 1943-1944","Bryan Hextall Sr.","1943-1944","New York Rangers",41,41
"146","Ray Getliffe 1943-1944","Ray Getliffe","1943-1944","Montréal Canadiens",40,36
"147","Murph Chamberlain 1943-1944","Murph Chamberlain","1943-1944","Montréal Canadiens",40,40
"148","Toe Blake 1943-1944","Toe Blake","1943-1944","Montréal Canadiens",44,32
"149","Phil Watson 1943-1944","Phil Watson","1943-1944","Montréal Canadiens",40,36
"150","Don Grosso 1943-1944","Don Grosso","1943-1944","Detroit Red Wings",40,35
"151","Maurice Richard 1943-1944","Maurice Richard","1943-1944","Montréal Canadiens",41,39
"152","Norm Calladine 1943-1944","Norm Calladine","1943-1944","Boston Bruins",40,44
"153","Gerry Heffernan 1943-1944","Gerry Heffernan","1943-1944","Montréal Canadiens",42,38
"154","Buzz Boll 1943-1944","Buzz Boll","1943-1944","Boston Bruins",40,37
"155","Dutch Hiller 1943-1944","Dutch Hiller","1943-1944","New York Rangers",40,48
"156","Pat Egan 1943-1944","Pat Egan","1943-1944","Boston Bruins",40,45
"157","Cully Dahlstrom 1943-1944","Cully Dahlstrom","1943-1944","Chicago Blackhawks",40,46
"158","George Allen 1943-1944","George Allen","1943-1944","Chicago Blackhawks",41,42
"159","Bep Guidolin 1943-1944","Bep Guidolin","1943-1944","Boston Bruins",41,45
"160","Adam Brown 1943-1944","Adam Brown","1943-1944","Detroit Red Wings",41,48
"161","Toe Blake 1944-1945","Toe Blake","1944-1945","Montréal Canadiens",40,23
"162","Elmer Lach 1944-1945","Elmer Lach","1944-1945","Montréal Canadiens",41,26
"163","Maurice Richard 1944-1945","Maurice Richard","1944-1945","Montréal Canadiens",42,26
"164","Bill Cowley 1944-1945","Bill Cowley","1944-1945","Boston Bruins",40,27
"165","Syd Howe 1944-1945","Syd Howe","1944-1945","Detroit Red Wings",40,29
"166","Ted Kennedy 1944-1945","Ted Kennedy","1944-1945","Toronto Maple Leafs",41,36
"167","Ab DeMarco Sr. 1944-1945","Ab DeMarco Sr.","1944-1945","New York Rangers",40,37
"168","Mud Bruneteau 1944-1945","Mud Bruneteau","1944-1945","Detroit Red Wings",40,34
"169","Joe Carveth 1944-1945","Joe Carveth","1944-1945","Detroit Red Wings",40,40
"170","Clint Smith 1944-1945","Clint Smith","1944-1945","Chicago Blackhawks",40,44
"171","Bill Mosienko 1944-1945","Bill Mosienko","1944-1945","Chicago Blackhawks",41,44
"172","Lorne Carr 1944-1945","Lorne Carr","1944-1945","Toronto Maple Leafs",40,41
"173","Herb Cain 1944-1945","Herb Cain","1944-1945","Boston Bruins",40,44
"174","Buddy O'Connor 1944-1945","Buddy O'Connor","1944-1945","Montréal Canadiens",42,46
"175","Gus Bodnar 1944-1945","Gus Bodnar","1944-1945","Toronto Maple Leafs",41,46
"176","Grant Warwick 1944-1945","Grant Warwick","1944-1945","New York Rangers",40,41
"177","Hank Goldup 1944-1945","Hank Goldup","1944-1945","New York Rangers",41,47
"178","Flash Hollett 1944-1945","Flash Hollett","1944-1945","Detroit Red Wings",41,49
"179","Babe Pratt 1944-1945","Babe Pratt","1944-1945","Toronto Maple Leafs",41,50
"180","Max Bentley 1945-1946","Max Bentley","1945-1946","Chicago Blackhawks",43,29
"181","Bill Mosienko 1945-1946","Bill Mosienko","1945-1946","Chicago Blackhawks",40,30
"182","Gaye Stewart 1945-1946","Gaye Stewart","1945-1946","Toronto Maple Leafs",42,40
"183","Toe Blake 1945-1946","Toe Blake","1945-1946","Montréal Canadiens",40,42
"184","Ab DeMarco Sr. 1945-1946","Ab DeMarco Sr.","1945-1946","New York Rangers",40,44
"185","Clint Smith 1945-1946","Clint Smith","1945-1946","Chicago Blackhawks",41,44
"186","Elmer Lach 1945-1946","Elmer Lach","1945-1946","Montréal Canadiens",40,44
"187","Maurice Richard 1945-1946","Maurice Richard","1945-1946","Montréal Canadiens",40,45
"188","Alex Kaleta 1945-1946","Alex Kaleta","1945-1946","Chicago Blackhawks",42,46
"189","Billy Taylor Sr. 1945-1946","Billy Taylor Sr.","1945-1946","Toronto Maple Leafs",41,46
"190","Doug Bentley 1945-1946","Doug Bentley","1945-1946","Chicago Blackhawks",40,36
"191","Don Gallinger 1945-1946","Don Gallinger","1945-1946","Boston Bruins",40,50
"192","Pete Horeck 1945-1946","Pete Horeck","1945-1946","Chicago Blackhawks",41,50
"193","Syl Apps 1945-1946","Syl Apps","1945-1946","Toronto Maple Leafs",40,40
"194","Maurice Richard 1946-1947","Maurice Richard","1946-1947","Montréal Canadiens",40,31
"195","Max Bentley 1946-1947","Max Bentley","1946-1947","Chicago Blackhawks",41,39
"196","Ted Kennedy 1946-1947","Ted Kennedy","1946-1947","Toronto Maple Leafs",40,42
"197","Doug Bentley 1946-1947","Doug Bentley","1946-1947","Chicago Blackhawks",40,41
"198","Billy Taylor Sr. 1946-1947","Billy Taylor Sr.","1946-1947","Detroit Red Wings",41,44
"199","Milt Schmidt 1946-1947","Milt Schmidt","1946-1947","Boston Bruins",40,45
"200","Roy Conacher 1946-1947","Roy Conacher","1946-1947","Detroit Red Wings",41,48
"201","Woody Dumart 1946-1947","Woody Dumart","1946-1947","Boston Bruins",40,50
"202","Bobby Bauer 1946-1947","Bobby Bauer","1946-1947","Boston Bruins",42,48
"203","Toe Blake 1946-1947","Toe Blake","1946-1947","Montréal Canadiens",40,52
